交易日期,股票代码,总市值,是否交易,最后一天涨跌幅,交易天数,下月涨幅
1999-07-31,sh600001,14461972150.0,1,-0.008511,22,-0.00402136349914
1999-08-31,sh600001,13791631810.0,1,0.028513,22,-0.0485128905106
1999-09-30,sh600001,13122532840.0,1,-0.007231,22,-0.0874086440267
1999-10-31,sh600001,11975506040.0,1,-0.014607,16,-0.0969185901989
1999-11-30,sh600001,10814824150.0,1,0.002532,22,-0.0871205860398
1999-12-31,sh600001,9872623560.0,1,0.002774,21,0.0843687117385
2000-01-31,sh600001,10705583500.0,1,0.001277,19,0.0204083903859
2000-02-29,sh600001,10924064800.0,1,0.034929,12,0.0249997930126
2000-03-31,sh600001,11197166420.0,1,-0.016787,23,0.0487792562377
2000-04-30,sh600001,11743369660.0,1,-0.006928,20,0.0900007762267
2000-05-31,sh600001,12858684320.0,1,0.062654,18,-0.0485550033679
2000-06-30,sh600001,12234332010.0,1,-0.003632,21,0.116646797769
2000-07-31,sh600001,13661422990.0,1,0.01547,21,-0.101198537027
2000-08-31,sh600001,12278928610.0,1,-0.035047,23,-0.0786935423314
2000-09-30,sh600001,11312669090.0,1,0.0,21,0.00657094645425
2000-10-31,sh600001,11386996750.0,1,0.01457,17,0.0613579932116
2000-11-30,sh600001,12085676700.0,1,0.033037,22,-0.0246004334711
2000-12-31,sh600001,11788366080.0,1,0.016667,21,0.0554829328913
2001-01-31,sh600001,12442449450.0,1,0.013317,13,-0.0155312454505
2001-02-28,sh600001,12249197540.0,1,0.007335,18,0.0436913967692
2001-03-31,sh600001,12784356660.0,1,0.010576,22,-0.0465125065631
2001-04-30,sh600001,12189735420.0,1,-0.003645,21,-0.0109766437278
2001-05-31,sh600001,12055945640.0,1,0.009963,17,-0.0135631509767
2001-06-30,sh600001,11892424800.0,1,-0.006211,21,-0.0910557388288
2001-07-31,sh600001,10539661480.0,1,-0.00561,22,-0.107194443375
2001-08-31,sh600001,9409881120.0,1,-0.00939,23,-0.0142186337833
2001-09-30,sh600001,9276091340.0,1,0.011345,20,-0.0320506865582
2001-10-31,sh600001,8978780720.0,1,0.010033,18,0.0662241860201
2001-11-30,sh600001,9573401960.0,1,0.003115,22,-0.054348273138
2001-12-31,sh600001,9053108380.0,1,-0.001639,21,-0.0903139692413
2002-01-31,sh600001,8235504170.0,1,0.055238,20,0.0252706928535
2002-02-28,sh600001,8443621610.0,1,-0.005254,10,0.0246483021514
2002-03-31,sh600001,8651739040.0,1,-0.025126,21,-0.00687269852085
2002-04-30,sh600001,8592276920.0,1,0.005217,21,-0.065746332254
2002-05-31,sh600001,8027386740.0,1,0.001855,18,0.203061064089
2002-06-30,sh600001,9395015590.0,1,0.004769,20,-0.0791119879344
2002-07-31,sh600001,8651739040.0,1,-0.006826,23,-0.00172003111064
2002-08-31,sh600001,8636873510.0,1,-0.001718,22,-0.046471689294
2002-09-30,sh600001,8235504170.0,1,0.0,20,-0.0270773619391
2002-10-31,sh600001,8012521210.0,1,0.001859,18,-0.0296836423659
2002-11-30,sh600001,7774672710.0,1,-0.005703,20,-0.0458894494416
2002-12-31,sh600001,7417899970.0,1,-0.005976,22,0.0861736364393
2003-01-31,sh600001,8057117800.0,1,-0.007326,20,0.00922627066882
2003-02-28,sh600001,8131445460.0,1,0.0,15,-0.0201111476343
2003-03-31,sh600001,7967924620.0,1,0.009416,21,0.0167915087333
2003-04-30,sh600001,8101714400.0,1,0.009259,22,0.00733847812482
2003-05-31,sh600001,8161176520.0,1,0.0,15,0.00182222729344
2003-06-30,sh600001,8176042050.0,1,-0.003623,20,0.00306062009815
2003-07-31,sh600001,8042252270.0,1,-0.003683,23,-0.0314240869273
2003-08-31,sh600001,7789538240.0,1,0.01354,21,-0.0248104694121
2003-09-30,sh600001,7596286340.0,1,0.011881,21,0.0313111620269
2003-10-31,sh600001,7834134840.0,1,0.007648,18,0.0512323412437
2003-11-30,sh600001,8235504170.0,1,0.010949,20,0.046931333457
2003-12-31,sh600001,8622007980.0,1,-0.03172,23,0.0275870178757
2004-01-31,sh600001,8859856480.0,1,-0.009967,13,0.088927232871
2004-02-29,sh600001,9647729620.0,1,-0.004601,20,-0.00308100840821
2004-03-31,sh600001,9617998560.0,1,0.01252,23,-0.128283540764
2004-04-30,sh600001,8384159480.0,1,0.007143,22,-0.0177302138016
2004-05-31,sh600001,8235504170.0,1,-0.007168,15,-0.0487370101701
2004-06-30,sh600001,7834565920.0,1,-0.003781,22,-0.0132813960829
2004-07-31,sh600001,7730501480.0,1,-0.003831,22,0.0134644817017
2004-08-31,sh600001,7834565920.0,1,0.001901,22,0.0151803207179
2004-09-30,sh600001,7953632960.0,1,-0.009259,21,-0.0689159958748
2004-10-31,sh600001,6987766440.0,1,-0.024948,16,-0.00639797520191
2004-11-30,sh600001,6943068570.0,1,0.013043,22,-0.0128739489676
2004-12-31,sh600001,6853678160.0,1,0.006565,23,-0.0217386947793
2005-01-31,sh600001,6704685150.0,1,-0.010989,20,0.0422231600922
2005-02-28,sh600001,6987771860.0,1,-0.008457,13,-0.0319859026137
2005-03-31,sh600001,6764282350.0,1,-0.004386,23,0.0198236306563
2005-04-30,sh600001,6898376060.0,1,0.0,21,0.00647929710359
2005-05-31,sh600001,6943073960.0,1,0.006479,17,0.0472115713215
2005-06-30,sh600001,7362297470.0,1,-0.027888,21,0.0204910708638
2005-07-31,sh600001,7513164220.0,1,-0.017751,20,0.0108918907602
2005-08-31,sh600001,7377505380.0,1,0.012422,23,-0.0184031982955
2005-09-30,sh600001,7231768710.0,1,0.003135,22,-0.112500622153
2005-10-31,sh600001,6418194730.0,1,0.007092,16,-0.0316910104863
2005-11-30,sh600001,6214801240.0,1,0.0,22,0.12727378982
2005-12-31,sh600001,7015447810.0,1,-0.04321,22,0.235484956014
2006-01-31,sh600001,8667472620.0,0,0.0,13,-0.0417751470943
2006-02-28,sh600001,8590650820.0,1,0.008242,13,-0.0027240615834
2006-03-31,sh600001,10115439530.0,0,0.0,13,-0.170491730304
2006-04-30,sh600001,7628036370.0,1,0.014706,18,0.63043422175
2006-05-31,sh600001,12437015810.0,1,0.100244,17,-0.103316442833
2006-06-30,sh600001,10965647150.0,1,0.012887,22,-0.129770719039
2006-07-31,sh600001,9542624240.0,1,-0.008696,21,0.0526314733083
2006-08-31,sh600001,10044867620.0,1,0.016949,23,-0.016668643693
2006-09-30,sh600001,9877482640.0,1,-0.005618,20,0.144066699027
2006-10-31,sh600001,11300509800.0,1,0.022727,17,0.00493898775788
2006-11-30,sh600001,11356314790.0,1,0.02005,22,0.0712521680373
2006-12-31,sh600001,12170699530.0,1,0.002299,21,0.305043176995
2007-01-31,sh600001,15883321170.0,1,-0.074797,20,0.156417049378
2007-02-28,sh600001,18367707090.0,1,0.057878,15,-0.0288728329821
2007-03-31,sh600001,17997157480.0,1,-0.034743,22,0.23474207681
2007-04-30,sh600001,22221842330.0,1,-0.003788,21,-0.0202795909271
2007-05-31,sh600001,21771209280.0,1,-0.02399,17,-0.163838449459
2007-06-30,sh600001,17940828340.0,1,-0.028963,21,0.0926224570689
